Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_114.jpg,0,0,1,0,82.93153,80.18717,0.0002333617,184.0531,-6.101063E-07
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_158.jpg,0,0,0,0,82.93153,80.18717,0.0002334291,184.0531,-8.390264E-07
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_207.jpg,0,0,0,0,82.93153,80.18717,0.0002335746,184.0531,-9.952007E-07
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_258.jpg,0,0,0,0,82.93153,80.18717,0.0002339437,184.0531,-1.23479E-06
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_307.jpg,0,0,0,0,82.93153,80.18717,0.0002337875,184.0531,-1.380282E-06
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_358.jpg,0,0,0,0,82.93153,80.18717,0.0002341566,184.0531,-1.619885E-06
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_408.jpg,0,0,0,0,82.93153,80.18717,0.0002343021,184.0531,-1.776046E-06
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_458.jpg,0,0,0,0,82.93153,80.18717,0.0002344423,184.0531,-2.083053E-06
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_508.jpg,0,0,0,0,82.93153,80.18717,0.0002348894,184.0531,-2.249897E-06
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_558.jpg,0,0,0,0,82.93153,80.18717,0.0002351023,184.0531,-2.634978E-06
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_608.jpg,0,0,0,0,82.93153,80.18717,0.0002353205,184.0531,-2.86924E-06
C:\Users\JackB\Documents\IMG\robocam_2017_06_15_13_31_32_658.jpg,0,0,0,0,82.93153,80.18717,0.0002357624,184.0531,-3.186917E-06
